Dry_Season_2017,Dry_Season_2018,Dry_Season_2019,Dry_Season_2020,Dry_Season_2021
-3.322999954,-2.585,-2.268,-1.061,-5.49
-3.040999889,-2.828,-2.309,-1.401,-5.567
-2.911000013,-2.718,-2.306,-1.214,-5.571
-2.895999908,-2.585,-2.379,-1.416,-5.419
-2.592000008,-2.559,-2.139,-1.009,-5.255
-2.785000086,-2.194,-1.989,-1.524,-4.971
-2.384000063,-1.994,-1.773,-1.579,-4.596
-2.670000076,-1.737,-1.348,-1.285,-4.128
-1.851000071,-1.622,-1.437,-1.145,-4.221
-2.105999947,-1.526,-1.24,-1.362,-4.256
-2.063999891,-1.412,-0.579,-1.464,-4.346
-2.363999844,-1.473,-0.166,-1.557,-4.492
-2.268000126,-1.883,-0.167,-1.7,-5.068
-3.227999926,-1.851,-0.319,-1.676,-4.279
-3.404999971,-2.051,-0.187,-1.69,-5.117
-0.827000022,-2.004,-0.19,-1.939,-3.586
-1.18900001,-2.359,-0.498,-1.871,-2.185
-0.947000027,-2.429,-0.392,-1.662,-2.187
-6.710000038,-2.351,0.895,-1.495,-3.106
-3.341999769,-2.331,-1.013,-1.524,-2.851
-2.055999994,-1.694,-1.36,-1.461,-2.208
-1.450999975,-1.694,-1.123,-1.2,-1.412
0.574999988,-1.319,-0.323,-1.205,-1.147
-0.478000015,0.093,-0.905,-1.194,-0.936
-0.257999986,-0.349,-0.467,-0.261,-1.805
0.103,-0.029,-0.865,0.056,-2.357
2.243999958,0.431,-0.603,0.163,-1.207
1.335999966,1.168,-0.663,0.052,-1.357
0.847000003,-0.366,-0.538,-0.039,-1.447
-0.01,0.17,-0.499,0.011,-1.969
0.90200007,0.38,-0.578,0.505,-1.979
0.713,0.264,-0.649,0.945,-2.479
0.582000017,-0.162,-0.789,1.151,-2.292
0.301999986,-0.284,-0.745,1.151,-2.835
-2.361000061,-1.45,-0.649,0.932,-5.021
-1.965999961,-1.048,-0.724,0.743,-4.721
-2.801000118,-1.195,-0.759,1.21,-5.231
-2.628000021,-1.176,-0.888,0.68,-4.808
-6.713999748,-2.804,-1.045,-0.546,-4.982
-2.361000061,-2.865,-1.101,-1.126,-5.352
-2.069000006,-3.009,-1.183,-1.221,-5.296
-2.513000011,-2.824,-1.639,-1.238,-5.238
-3.266999722,-2.881,-1.712,-0.963,-5.531
-2.562999964,-3.133,-2.121,-0.88,-5.297
-2.367000103,-2.914,-2.395,-0.328,-5.436
-2.35800004,-2.794,-2.254,-1.499,-4.542
-2.457000017,-2.411,-2.251,-1.139,-4.166
-1.865999937,-2.712,-2.515,-1.408,-4.525
-2.030999899,-2.29,-2.458,-1.222,-4.161
-2.085999966,-2.254,-2.241,-1.499,-4.161
